2191-1651A	628 Hannah Lane	Monroe	GA	30655	Walton	December 3, 2019
1434-2002A	697 Cedar Drive	Ashburn	GA	31714	Turner	December 3, 2019	View on Auction.com
1823-116A	336 Sutton Drive	Ringgold	GA	30736	Catoosa	December 3, 2019
1884-017A	2455 Belle Patrice Drive	Cumming	GA	30041	Forsyth	December 3, 2019	$252,313.00
2191-1617A	1839 Carol Chunn Rd	Woodbury	GA	30293	Meriwether	December 3, 2019
2191-1628A	2546 Crescent Drive	Albany	GA	31705	Dougherty	December 3, 2019
2191-1630A	120 Laurens Oak Court	Alpharetta	GA	30022	Fulton	December 3, 2019
1292-1174A	105 Willow Tree Terrace	Covington	GA	30016	Newton	December 3, 2019	View on Auction.com
1292-1175A	4639 Tell Road SW	Atlanta	GA	30331	Fulton	December 3, 2019	View on Auction.com
1292-1176A	5565 Harper Boulevard	Morrow	GA	30260	Clayton	December 3, 2019	View on Auction.com
1292-1187A	1005 Bacon Road	Hinesville	GA	31313	Liberty	December 3, 2019	View on Auction.com
1341-350A	2545 N View Avenue	Augusta	GA	30904	Richmond	December 3, 2019	$69,000.00
1341-376A	9107 Woodhaven Drive Nw	Covington	GA	30014	Newton	December 3, 2019
1434-1993A	2183 Oakawana Dr NE	Atlanta	GA	30345	Dekalb	December 3, 2019
1434-1995A	235 Brookside Drive	Dallas	GA	30132	Paulding	December 3, 2019	$97,790.00
1434-2001A	150 Longstreet Circle	Oxford	GA	30054	Newton	December 3, 2019	View on Auction.com
1292-1153A	102 Stone View Dr	Hoschton	GA	30548	Jackson	December 3, 2019	View on Auction.com
1292-1158A	835 Pinehill Drive	Smyrna	GA	30080	Cobb	December 3, 2019	View on Auction.com
1292-1160A	7510 Volion Pkwy	Fairburn	GA	30213	Fulton	December 3, 2019	View on Auction.com
1207-1328A	5755 River Ridge Lane	Sugar Hill	GA	30518	Gwinnett	December 3, 2019	$14,307.03
1208-2892A	3707 Charles Street NW	Lilburn	GA	30047	Gwinnett	December 3, 2019	$160,381.38
1208-2908A	178 Brompton Dr	Leesburg	GA	31763	Lee	December 3, 2019
1208-3068A	3529 Blue Jay Road	Guyton	GA	31312	Effingham	December 3, 2019
1208-3077A	702 Davis Circle	Columbus	GA	31906	Muscogee	December 3, 2019
1208-3081A	3061 Herscu Way	Lithonia	GA	30038	Dekalb	December 3, 2019
1208-3088A	495 Spring Valley Road	Atlanta	GA	30318	Fulton	December 3, 2019
1208-3090A	930 Denton Road	Cedartown	GA	30125	Polk	December 3, 2019	$123,200.00
1208-3093A	320 Dix Lee On Drive	Fairburn	GA	30213	Fayette	December 3, 2019
1208-3103A	3455 Ellington Way	Atlanta	GA	30349	Fulton	December 3, 2019
1208-3113A	142 McClung Road	Hiram	GA	30141	Paulding	December 3, 2019
1120-22768A	4106 Dog Legg Drive	Cohutta	GA	30710	Whitfield	December 3, 2019	View on Auction.com
1120-22770A	105 Oak Crest Trl	Athens	GA	30605	Clarke	December 3, 2019	View on Auction.com
1120-22793A	5564 Princeton Oaks Lane	Sugar Hill	GA	30518	Gwinnett	December 3, 2019
1125-345A	2601 Callaway Road	Marietta	GA	30008	Cobb	December 3, 2019	View on Auction.com
1144-248A	1312 Dupont Commons Circle NW	Atlanta	GA	30318	Fulton	December 3, 2019	$359,900.00
