2191-988A	7603 Hwy 215 South	Rochelle	GA	31079	Wilcox	January 7, 2020
1434-2008A	1184 Ironwood Dr	Grayson	GA	30017	Gwinnett	January 7, 2020	View on Auction.com
1434-2012A	3444 Kenilworth Ct	Snellville	GA	30039	Gwinnett	January 7, 2020	View on Auction.com
1434-2013A	35 Side Trail	Covington	GA	30016	Newton	January 7, 2020	View on Auction.com
1434-2015A	1382 Freeman Road	Forsyth	GA	31029	Monroe	January 7, 2020	View on Auction.com
1434-2019A	425 Cannon Circle	Albany	GA	31705	Dougherty	January 7, 2020	View on Auction.com
1714-028A	164 Myra Street	Alma	GA	31510	Bacon	January 7, 2020	View on Auction.com
1735-005A	2555 Flat Shoals Road, #3005	Atlanta	GA	30349	Fulton	January 7, 2020
1929-003A	78 College Street	Luthersville	GA	30251	Meriwether	January 7, 2020
2191-1553A	3018 Greensboro Road	Union Point	GA	30669	Taliaferro	January 7, 2020
2191-1593A	725 Alfred Carson Circle	Sandersville	GA	31062	Washington	January 7, 2020
2191-1645A	7361 Bethel Church R.d	Lizella	GA	31052	Bibb	January 7, 2020
2191-1656A	2949 Heather Dr.	East Point	GA	30344	Fulton	January 7, 2020
2191-1659A	1945 Crawford Creek Road.	Pine Mountain	GA	31822	Meriwether	January 7, 2020
2191-1662A	2941 Edna Lane	Decatur	GA	30032	Dekalb	January 7, 2020
2191-1665A	4810 Wilson Road	Macon	GA	31206	Bibb	January 7, 2020
1263-1394A	4002 Heritage Valley Ln SW	Powder Springs	GA	30127	Cobb	January 7, 2020
1292-1188A	323 Ernest Stinson Road	East Dublin	GA	31027	Laurens	January 7, 2020	View on Auction.com
1292-1190A	170 Lazy Hollow Lane	Covington	GA	30016	Newton	January 7, 2020	View on Auction.com
1292-1191A	90 Pasha Dr	Ellijay	GA	30540	Gilmer	January 7, 2020	View on Auction.com
1292-1195A	118 Lake Placid Drive	Bonaire	GA	31005	Houston	January 7, 2020	View on Auction.com
1292-1203A	4223 Sitka Drive	Douglasville	GA	30135	Douglas	January 7, 2020	View on Auction.com
1292-1204A	3242 Dogwood Drive	East Point	GA	30344	Fulton	January 7, 2020	View on Auction.com
1341-385A	2548 Highway 75	Hiawassee	GA	30546	Towns	January 7, 2020
1341-388A	150 Stonehenge Way	Bogart	GA	30622	Clarke	January 7, 2020
1341-394A	1517 Rosewood Drive	Savannah	GA	31406	Chatham	January 7, 2020
1396-873A	120 Lakeview Ln	Stockbridge	GA	30281	Henry	January 7, 2020	View on Auction.com
1208-3126A	4123 Willis St	Columbus	GA	31903	Muscogee	January 7, 2020
1208-3132A	108 Isabelle Lane	Cairo	GA	39828	Grady	January 7, 2020
1208-3134A	69 Beverly Street	Fort Valley	GA	31030	Peach	January 7, 2020
1208-3136A	224 Bridges Drive	Winterville	GA	30683	Oglethorpe	January 7, 2020
1208-3144A	159 Mattie Thompson Road	Jackson	GA	30233	Butts	January 7, 2020
1208-3147A	2430 Charlene Terrace	Macon	GA	31206	Bibb	January 7, 2020
1208-3148A	138 Club Circle	Stockbridge	GA	30281	Henry	January 7, 2020	View on Auction.com
1208-3154A	242 Old Fig Lane	Fairburn	GA	30213	Fulton	January 7, 2020
1208-3168A	320 Marble Top Road	Chickamauga	GA	30707	Walker	January 7, 2020
1208-2900A	2558 Pleasant Hill Rd.	Talking Rock	GA	30175	Pickens	January 7, 2020
1208-2950A	6187 Continental Circle	Morrow	GA	30260	Clayton	January 7, 2020	View on Auction.com
1208-3029A	495 Ga Hwy 27 E	Americus	GA	31709	Sumter	January 7, 2020
1208-3082A	Lots 13 & 14 Williams Street	Wadley	GA	30477	Jefferson	January 7, 2020
1208-3099A	60 Villa Rosa Drive	Temple	GA	30179	Carroll	January 7, 2020
1208-3114A	406 Henson Avenue	Columbus	GA	31907	Muscogee	January 7, 2020	View on Auction.com
1208-3121A	3540 Raintree Dr	Valdosta	GA	31601	Lowndes	January 7, 2020
1208-3123A	5572 Wellborn Creek Dr	Lithonia	GA	30058	Dekalb	January 7, 2020
1208-3124A	2815 Spelman Dr	Albany	GA	31701	Dougherty	January 7, 2020
1120-22838A	4710 Idlewood Gate	Lithonia	GA	30038	Dekalb	January 7, 2020
1207-1345A	610 Kingsgate Ridge	Stone Mountain	GA	30088	Dekalb	January 7, 2020
1207-1351A	621 Mount Carmel Church Road	Quitman	GA	31643	Brooks	January 7, 2020
1207-1352A	206 Peachtree Boulevard	Bonaire	GA	31005	Houston	January 7, 2020
1207-1355A	400 Ramsey Road	Albany	GA	31705	Dougherty	January 7, 2020
1207-1356A	1195 Fincher Road	Covington	GA	30016	Newton	January 7, 2020
1207-1359A	162 Berwick Lakes Blvd	Pooler	GA	31322	Chatham	January 7, 2020
1207-1365A	4080 Monroe Drive NW	Kennesaw	GA	30144	Cobb	January 7, 2020
1208-2537A	1247 Reeves Station Road	Calhoun	GA	30701	Gordon	January 7, 2020
1120-22812A	2109 Howe Avenue	Columbus	GA	31903	Muscogee	January 7, 2020
1120-22813A	1962 Kingston Ln	Hinesville	GA	31313	Liberty	January 7, 2020
1120-22817A	605 Stevens Pl	McDonough	GA	30252	Henry	January 7, 2020
1120-22818A	1976 Boatswain Drive	Hampton	GA	30228	Henry	January 7, 2020	View on Auction.com
1120-22819A	5314 Katherine Village Drive	Ellenwood	GA	30294	Clayton	January 7, 2020	View on Auction.com
1120-22821A	531 Amsonia Circle	Guyton	GA	31312	Effingham	January 7, 2020
1120-22822A	4048 Parks Road	Flowery Branch	GA	30542	Hall	January 7, 2020
1120-22832A	240 Sugar Birch Way	Dallas	GA	30132	Paulding	January 7, 2020
1120-22833A	312 Thoroughbred Trl	Monroe	GA	30655	Walton	January 7, 2020	View on Auction.com
1120-22787A	3088 Mount Tabor Church Road	Dallas	GA	30157	Paulding	January 7, 2020
1120-22788A	3330 Tybee Island Cv	Lawrenceville	GA	30044	Gwinnett	January 7, 2020
1120-22791A	293 Jordan St SE	Atlanta	GA	30315	Fulton	January 7, 2020
1120-22802A	155 Dove Point	Covington	GA	30016	Newton	January 7, 2020	View on Auction.com
1120-22803A	12 Kirby Ct	Adairsville	GA	30103	Bartow	January 7, 2020	View on Auction.com
1120-22805A	4245 Highborne Drive Northeast	Marietta	GA	30066	Cobb	January 7, 2020
1120-22806A	8 Oak Park PL	Savannah	GA	31405	Chatham	January 7, 2020	View on Auction.com
1120-22809A	2620 North Clark Drive	East Point	GA	30344	Fulton	January 7, 2020
1120-22810A	2570 Rosehill Circle	Lithia Springs	GA	30122	Douglas	January 7, 2020
1087-1794A	4507 Berline Drive	Lithonia	GA	30038	Dekalb	January 7, 2020	View on Auction.com
1095-542A	4913 North Talmadge Drive	Toccoa	GA	30577	Stephens	January 7, 2020
1098-449A	4928 Knights Lane	Valdosta	GA	31601	Lowndes	January 7, 2020
1120-22439A	4031 Covey Lane	Douglasville	GA	30135	Douglas	January 7, 2020	View on Auction.com
1120-22472A	2386 Wilderness Way	Marietta	GA	30066	Cobb	January 7, 2020
