01/07/2020	BVF-14-05867-20	3324 Whitmore Court	Acworth	30101	Cobb	Not Available
01/07/2020	CEL-19-05663-3	32 Rountree Mccranie Road	Adel	31620	Cook	Not Available
01/07/2020	BVF-19-04835-1	1022 Randolph St	Albany	31701	Dougherty	Not Available
01/07/2020	BVF-19-06871-1	1831 Philema Rd	Albany	31701	Lee	Not Available
01/07/2020	LNC-19-03044-12	513 Johnson Road	Albany	31705	Dougherty	Go to Auction.com
01/07/2020	BVF-19-06567-1	5212 White Oak Rd	Appling	30802	Columbia	Not Available
01/07/2020	BVF-19-06196-1	2059 Forest Acres Cir	Athens	30601	Clarke	Not Available
01/07/2020	FAY-19-04569-2	1010 Dunning St Se	Atlanta	30315	Fulton	Not Available
01/07/2020	BVF-19-06612-1	1315 Westridge Rd	Atlanta	30311	Fulton	Not Available
01/07/2020	FAY-19-06505-1	1395 Beatie Ave Sw	Atlanta	30310	Fulton	Not Available
01/07/2020	FAY-19-06503-1	1406 Desoto Ave	Atlanta	30310	Fulton	Not Available
01/07/2020	BVF-19-01313-2	1949 Variations Dr Ne	Atlanta	30329	DeKalb	Not Available
01/07/2020	MTB-19-06762-1	2230 Cheshire Bridge Road, Unit 507	Atlanta	30324	Fulton	Go to Auction.com
01/07/2020	BSI-19-05809-1	2597 Ozella Place	Atlanta	30331	Fulton	Not Available
01/07/2020	FREM-18-05363-6	2805 Bluestone Dr Sw	Atlanta	30331	Fulton	Go to Auction.com
01/07/2020	BVF-18-00887-21	2976 Delowe Dr	Atlanta	30344	Fulton	Not Available
01/07/2020	LMA-19-04983-1	3152 Delmar Lane Northwest	Atlanta	30311	Fulton	Not Available
01/07/2020	BVF-19-01681-8	3191 Harris Drive	Atlanta	30344	Fulton	Not Available
01/07/2020	BVF-19-06309-1	3203 Lenox Rd Ne, Unit 2	Atlanta	30324	Fulton	Not Available
01/07/2020	PNY-18-06170-3	3535 Glenview Cir Sw	Atlanta	30331	Fulton	Go to Auction.com
01/07/2020	QKN-18-08073-10	4220 Sublime Trl	Atlanta	30349	Fulton	Not Available
01/07/2020	SPS-19-00260-1	6020 Riverside Dr	Atlanta	30328	Fulton	Go to Auction.com
01/07/2020	QKN-15-06741-15	6194 Red Maple Rd	Atlanta	30349	Fulton	Go to Auction.com
01/07/2020	PNY-19-03062-6	2318 Oketo Dr	Augusta	30906	Richmond	Go to Auction.com
01/07/2020	PNY-17-07703-1	3606 Lexington Dr	Augusta	30906	Richmond	Go to Auction.com
01/07/2020	BVF-19-05909-1	21 Cook St	Baxley	31513	Appling	Not Available
01/07/2020	LMO-17-04208-17	63 Old Hollow Rd	Blue Ridge	30513	Fannin	Not Available
01/07/2020	BVF-18-05722-2	390 Martin Rd	Boston	31626	Thomas	Not Available
01/07/2020	SHP-19-04847-1	1590 Lankford Rd	Bowersville	30516	Hart	Go to Auction.com
01/07/2020	DMI-18-07921-11	2613 Northern Oak Dr	Braselton	30517	Gwinnett	$815,285.00
01/07/2020	BVF-19-04489-1	3172 Greenbrier Ct	Buford	30519	Gwinnett	Not Available
01/07/2020	BVF-19-06841-1	57 Margie Court	Byron	31008	Crawford	Not Available
01/07/2020	TMS-19-06210-1	105 Tellico Ct	Calhoun	30701	Gordon	Not Available
01/07/2020	BVF-19-07091-1	601 Hall Memorial Rd Nw	Calhoun	30701	Gordon	Not Available
01/07/2020	BVF-19-06519-1	154 Evergreen Rd	Canton	30114	Cherokee	Not Available
01/07/2020	PNY-18-04925-5	418 Farmwood Way	Canton	30115	Cherokee	Go to Auction.com
