01/07/2020,3324 Whitmore Court,Acworth,GA,30101,Homeowner,Cobb
01/07/2020,32 Rountree Mccranie Road,Adel,GA,31620,Homeowner,Cook
01/07/2020,1022 Randolph St,Albany,GA,31701,Homeowner,Dougherty
01/07/2020,1831 Philema Rd,Albany,GA,31701,Homeowner,Lee
01/07/2020,513 Johnson Road,Albany,GA,31705,Homeowner,Dougherty
01/07/2020,5212 White Oak Rd,Appling,GA,30802,Homeowner,Columbia
01/07/2020,2059 Forest Acres Cir,Athens,GA,30601,Homeowner,Clarke
01/07/2020,1010 Dunning St Se,Atlanta,GA,30315,Homeowner,Fulton
01/07/2020,1315 Westridge Rd,Atlanta,GA,30311,Homeowner,Fulton
01/07/2020,1395 Beatie Ave Sw,Atlanta,GA,30310,Homeowner,Fulton
01/07/2020,1406 Desoto Ave,Atlanta,GA,30310,Homeowner,Fulton
01/07/2020,1949 Variations Dr Ne,Atlanta,GA,30329,Homeowner,DeKalb
01/07/2020,2230 Cheshire Bridge Road, Unit 507,Atlanta,GA,30324,Homeowner,Fulton
01/07/2020,2597 Ozella Place,Atlanta,GA,30331,Homeowner,Fulton
01/07/2020,2805 Bluestone Dr Sw,Atlanta,GA,30331,Homeowner,Fulton
01/07/2020,2976 Delowe Dr,Atlanta,GA,30344,Homeowner,Fulton
01/07/2020,3152 Delmar Lane Northwest,Atlanta,GA,30311,Homeowner,Fulton
01/07/2020,3191 Harris Drive,Atlanta,GA,30344,Homeowner,Fulton
01/07/2020,3203 Lenox Rd Ne, Unit 2,Atlanta,GA,30324,Homeowner,Fulton
01/07/2020,3535 Glenview Cir Sw,Atlanta,GA,30331,Homeowner,Fulton
01/07/2020,4220 Sublime Trl,Atlanta,GA,30349,Homeowner,Fulton
01/07/2020,6020 Riverside Dr,Atlanta,GA,30328,Homeowner,Fulton
01/07/2020,6194 Red Maple Rd,Atlanta,GA,30349,Homeowner,Fulton
01/07/2020,2318 Oketo Dr,Augusta,GA,30906,Homeowner,Richmond
01/07/2020,3606 Lexington Dr,Augusta,GA,30906,Homeowner,Richmond
01/07/2020,21 Cook St,Baxley,GA,31513,Homeowner,Appling
01/07/2020,63 Old Hollow Rd,Blue Ridge,GA,30513,Homeowner,Fannin
01/07/2020,390 Martin Rd,Boston,GA,31626,Homeowner,Thomas
01/07/2020,1590 Lankford Rd,Bowersville,GA,30516,Homeowner,Hart
01/07/2020,2613 Northern Oak Dr,Braselton,GA,30517,Homeowner,Gwinnett
01/07/2020,3172 Greenbrier Ct,Buford,GA,30519,Homeowner,Gwinnett
01/07/2020,57 Margie Court,Byron,GA,31008,Homeowner,Crawford
01/07/2020,105 Tellico Ct,Calhoun,GA,30701,Homeowner,Gordon
01/07/2020,601 Hall Memorial Rd Nw,Calhoun,GA,30701,Homeowner,Gordon
01/07/2020,154 Evergreen Rd,Canton,GA,30114,Homeowner,Cherokee
01/07/2020,418 Farmwood Way,Canton,GA,30115,Homeowner,Cherokee
01/07/2020,260 Simms Road,Carrollton,GA,30117,Homeowner,Carroll
01/07/2020,56 Chimney Springs Dr Sw,Cartersville,GA,30120,Homeowner,Bartow
01/07/2020,58 Hamil Court Nw,Cartersville,GA,30120,Homeowner,Bartow
01/07/2020,506 Mt Carmel Church Rd,Chatswoth,GA,30705,Homeowner,Murray
01/07/2020,240 Devilla Court,College Park,GA,30349,Homeowner,Fulton
01/07/2020,1714 Iris Dr,Columbus,GA,31906,Homeowner,Muscogee
01/07/2020,2917 Barbara Rd,Columbus,GA,31907,Homeowner,Muscogee
01/07/2020,3107 Avon Dr,Columbus,GA,31907,Homeowner,Muscogee
01/07/2020,3601 Irwin Way,Columbus,GA,31906,Homeowner,Muscogee
01/07/2020,4643 Papaya Court,Columbus,GA,31909,Homeowner,Muscogee
01/07/2020,5700 Hastings Sq,Columbus,GA,31909,Homeowner,Muscogee
01/07/2020,1386 Fall River Drive,Conyers,GA,30013,Homeowner,Rockdale
01/07/2020,1607 Windyhill Place Se,Conyers,GA,30013,Homeowner,Rockdale
01/07/2020,1818 Thornhill Pass Se,Conyers,GA,30013,Homeowner,Rockdale
01/07/2020,3238 Old Salem Rd S.e,Conyers,GA,30013,Homeowner,Rockdale
01/07/2020,3290 Creekside Dr Se,Conyers,GA,30094,Homeowner,Rockdale
01/07/2020,175 Craines View,Covington,GA,30014,Homeowner,Newton
01/07/2020,35 Wildcat Way,Covington,GA,30016,Homeowner,Newton
01/07/2020,435 Berkshire Dr,Covington,GA,30016,Homeowner,Newton
01/07/2020,45 Trinity Lane,Covington,GA,30016,Homeowner,Newton
01/07/2020,2800 Gunnersbury Ct,Cumming,GA,30041,Homeowner,Forsyth
01/07/2020,5225 Pisgah Rd,Cumming,GA,30028,Homeowner,Forsyth
01/07/2020,5720 Mountain Top Place,Cumming,GA,30041,Homeowner,Forsyth
01/07/2020,409 Lumpkin St Nka 222 Lumpkin St,Cuthbert,GA,39840,Homeowner,Randolph
01/07/2020,111 Magazine St,Dallas,GA,30157,Homeowner,Paulding
01/07/2020,2828 Grove Level Dr,Dalton,GA,30721,Homeowner,Whitfield
01/07/2020,2904 Vine Dr,Dalton,GA,30721,Homeowner,Whitfield
01/07/2020,3346 Creekway Drive,Decatur,GA,30034,Homeowner,DeKalb
01/07/2020,3382 Lark Ln,Decatur,GA,30032,Homeowner,DeKalb
01/07/2020,4250 Harvest Hill Ct,Decatur,GA,30034,Homeowner,DeKalb
01/07/2020,4333 Dogwood Trace,Decatur,GA,30034,Homeowner,DeKalb
01/07/2020,6395 Queensdale Drive,Douglasville,GA,30135,Homeowner,Douglas
01/07/2020,6861 John Clark Dr,Douglasville,GA,30134,Homeowner,Douglas
01/07/2020,9917 Mancunian Way W,Douglasville,GA,30135,Homeowner,Douglas
01/07/2020,5564 Roberts Dr,Dunwoody,GA,30338,Homeowner,DeKalb
01/07/2020,1067 Elm St,Elberton,GA,30635,Homeowner,Elbert
01/07/2020,424 Midway Pointe,Ellenwood,GA,30294,Homeowner,Henry
01/07/2020,5771 Village Loop,Fairburn,GA,30213,Homeowner,Fulton
01/07/2020,3835 Bolding Rd,Flowery Branch,GA,30542,Homeowner,Hall
01/07/2020,6374 Flat Rock Drive,Flowery Branch,GA,30542,Homeowner,Hall
01/07/2020,1744 S River Rd,Franklin,GA,30217,Homeowner,Heard
01/07/2020,3724 Lexington Ct,Gainesville,GA,30504,Homeowner,Hall
01/07/2020,6417 Honeysuckle Ln,Gainesville,GA,30506,Homeowner,Hall
01/07/2020,410 Fawnbrook Cir,Griffin,GA,30223,Homeowner,Spalding
01/07/2020,1542 Baldwin Lakes Dr,Grovetown,GA,30813,Homeowner,Columbia
01/07/2020,1716 Pitchwood Way,Hephzibah,GA,30815,Homeowner,Richmond
01/07/2020,105 Monroe Avenue,Hinesville,GA,31313,Homeowner,Liberty
01/07/2020,1403 Crawford Ct,Hinesville,GA,31313,Homeowner,Liberty
01/07/2020,1480 Flo Zechman Drive,Hinesville,GA,31313,Homeowner,Liberty
01/07/2020,163 Grandview Drive,Hinesville,GA,31313,Homeowner,Liberty
01/07/2020,218 Thiess Branch Dr,Hinesville,GA,31313,Homeowner,Liberty
01/07/2020,422 Willow Oak Lane,Hinesville,GA,31313,Homeowner,Liberty
01/07/2020,1533 Thornwood Ct,Jonesboro,GA,30236,Homeowner,Clayton
01/07/2020,1589 Pintail Rd,Jonesboro,GA,30238,Homeowner,Clayton
01/07/2020,3019 Saint Andrews Ct,Jonesboro,GA,30236,Homeowner,Clayton
01/07/2020,9200 Brave Ct,Jonesboro,GA,30236,Homeowner,Clayton
01/07/2020,3815 Etheridge Pl Nw,Kennesaw,GA,30144,Homeowner,Cobb
01/07/2020,1690 Chase Ridge Lane,Lawrenceville,GA,30043,Homeowner,Gwinnett
01/07/2020,1932 Sugarstone Drive,Lawrenceville,GA,30043,Homeowner,Gwinnett
01/07/2020,961 Aspen Dr,Lithia Springs,GA,30122,Homeowner,Douglas
01/07/2020,3114 Rockview Dr,Lithonia,GA,30038,Homeowner,DeKalb
01/07/2020,3715 Wolverton Circle,Lithonia,GA,30038,Homeowner,DeKalb
01/07/2020,4985 River Overlook Way,Lithonia,GA,30038,Homeowner,DeKalb
01/07/2020,9197 Hopewell Rd,Lizella,GA,31052,Homeowner,Bibb
01/07/2020,572 Bradford Pl Ct,Loganville,GA,30052,Homeowner,Gwinnett
01/07/2020,6616 Destiny Dr,Mableton,GA,30126,Homeowner,Cobb
01/07/2020,1679 Twin Pines Drive,Macon,GA,31211,Homeowner,Bibb
01/07/2020,2071 Pine Hill Dr,Macon,GA,31217,Homeowner,Bibb
01/07/2020,719 Skyline Drive,Madison,GA,30650,Homeowner,Morgan
01/07/2020,1633 Caswell Pkwy,Marietta,GA,30060,Homeowner,Cobb
01/07/2020,1967 Hamilton Pl,Marietta,GA,30067,Homeowner,Cobb
01/07/2020,2363 Monte Villa Courts,Marietta,GA,30062,Homeowner,Cobb
01/07/2020,4058 Ne Longford Dr,Marietta,GA,30066,Homeowner,Cobb
01/07/2020,6410 Winston Trace,Mcdonough,GA,30252,Homeowner,Henry
01/07/2020,10 Colonial Dr,Midway,GA,31320,Homeowner,Liberty
01/07/2020,1290 Nunnally Farm Rd,Monroe,GA,30655,Homeowner,Walton
01/07/2020,1748 Walton Rd,Monroe,GA,30656,Homeowner,Walton
01/07/2020,282 Bobolink Dr,Monticello,GA,31064,Homeowner,Jasper
01/07/2020,5335 Wyntree Ct,Peachtree Corners,GA,30071,Homeowner,Gwinnett
01/07/2020,239 Lake Joy Road,Perry,GA,31069,Homeowner,Houston
01/07/2020,3842 Augustine Place,Rex,GA,30273,Homeowner,Clayton
01/07/2020,6148 Dorchester Dr,Rex,GA,30273,Homeowner,Clayton
01/07/2020,6121 Radford Dr,Riverdale,GA,30296,Homeowner,Clayton
01/07/2020,652 Goodyear Ave,Rockmart,GA,30153,Homeowner,Polk
01/07/2020,1763 Old Ringgold Rd,Rocky Face,GA,30740,Homeowner,Whitfield
